FieldSampleID,Block,Depth_val,Depth_incr,N_Treat,Treat_ID,Treat_Explan,Till_Status,Year,Bulk_dens,Tot_N,Tot_C,OC,IC
GGRS_209HIa_2030,2,2030,3,High,6,SPFor/SW/WPFor/WW,No Till,2016,1.44,0.08,1.65,0.71,0.93
GGRS_209HIb_0010,2,10,1,High,6,SPFor/SW/WPFor/WW,No Till,2016,1.47,0.12,1.8,1.21,0.59
GGRS_209HIb_1020,2,1020,2,High,6,SPFor/SW/WPFor/WW,No Till,2016,1.38,0.09,1.48,0.86,0.62
GGRS_209HIb_2030,2,2030,3,High,6,SPFor/SW/WPFor/WW,No Till,2016,1.51,0.06,2.19,0.52,1.66
GGRS_209LOa_0010,2,10,1,Low,6,SPFor/SW/WPFor/WW,No Till,2016,1.4,0.12,1.64,1.23,0.41
GGRS_209LOa_1020,2,1020,2,Low,6,SPFor/SW/WPFor/WW,No Till,2016,1.45,0.1,1.32,0.59,0.73
GGRS_209LOa_2030,2,2030,3,Low,6,SPFor/SW/WPFor/WW,No Till,2016,1.45,0.06,2.53,0.51,2.01
GGRS_209LOb_0010,2,10,1,Low,6,SPFor/SW/WPFor/WW,No Till,2016,1.51,0.13,1.9,1.28,0.62
GGRS_209LOb_1020,2,1020,2,Low,6,SPFor/SW/WPFor/WW,No Till,2016,1.53,0.09,1.54,0.98,0.56
GGRS_209LOb_2030,2,2030,3,Low,6,SPFor/SW/WPFor/WW,No Till,2016,1.39,0.05,2.31,0.54,1.77
GGRS_301HIa_0010,3,10,1,High,5,SP/SW/WP/WW,No Till,2016,1.51,0.16,1.58,1.41,0.17
GGRS_301HIa_1020,3,1020,2,High,5,SP/SW/WP/WW,No Till,2016,1.35,0.11,1.02,1.08,-0.06
GGRS_301HIa_2030,3,2030,3,High,5,SP/SW/WP/WW,No Till,2016,1.38,0.1,0.9,0.81,0.09
GGRS_301HIb_0010,3,10,1,High,5,SP/SW/WP/WW,No Till,2016,1.36,0.14,1.37,1.39,-0.02
GGRS_301HIb_1020,3,1020,2,High,5,SP/SW/WP/WW,No Till,2016,1.34,0.1,0.86,0.96,-0.11
GGRS_301HIb_2030,3,2030,3,High,5,SP/SW/WP/WW,No Till,2016,1.35,0.09,0.82,0.8,0.02
GGRS_301LOa_0010,3,10,1,Low,5,SP/SW/WP/WW,No Till,2016,1.42,0.13,1.33,1.26,0.06
GGRS_301LOa_1020,3,1020,2,Low,5,SP/SW/WP/WW,No Till,2016,1.42,0.1,0.95,1.05,-0.11
GGRS_301LOa_2030,3,2030,3,Low,5,SP/SW/WP/WW,No Till,2016,1.4,0.09,0.99,0.79,0.2
GGRS_301LOb_0010,3,10,1,Low,5,SP/SW/WP/WW,No Till,2016,1.39,0.13,1.29,1.39,-0.1
GGRS_301LOb_1020,3,1020,2,Low,5,SP/SW/WP/WW,No Till,2016,1.43,0.1,0.87,0.98,-0.11
GGRS_301LOb_2030,3,2030,3,Low,5,SP/SW/WP/WW,No Till,2016,1.39,0.08,0.70,0.67,0.03
GGRS_302HIa_0010,3,10,1,High,2,ChemF/SW/ChemF/WW,No Till,2016,1.45,0.13,1.36,1.33,0.03
GGRS_302HIa_1020,3,1020,2,High,2,ChemF/SW/ChemF/WW,No Till,2016,1.37,0.1,0.92,0.99,-0.07
GGRS_302HIa_2030,3,2030,3,High,2,ChemF/SW/ChemF/WW,No Till,2016,1.4,0.09,0.77,0.78,-0.01
GGRS_302HIb_0010,3,10,1,High,2,ChemF/SW/ChemF/WW,No Till,2016,1.41,0.13,1.22,1.2,0.02
GGRS_302HIb_1020,3,1020,2,High,2,ChemF/SW/ChemF/WW,No Till,2016,1.43,0.11,0.85,0.9,-0.05
GGRS_302HIb_2030,3,2030,3,High,2,ChemF/SW/ChemF/WW,No Till,2016,1.52,0.09,0.67,0.73,-0.06
GGRS_302LOa_0010,3,10,1,Low,2,ChemF/SW/ChemF/WW,No Till,2016,1.31,0.12,1.14,1.14,-0.01
GGRS_302LOa_1020,3,1020,2,Low,2,ChemF/SW/ChemF/WW,No Till,2016,1.28,0.09,0.76,0.93,-0.17
GGRS_302LOa_2030,3,2030,3,Low,2,ChemF/SW/ChemF/WW,No Till,2016,1.4,0.09,0.77,0.8,-0.03
GGRS_302LOb_0010,3,10,1,Low,2,ChemF/SW/ChemF/WW,No Till,2016,1.46,0.12,1.23,1.23,0
GGRS_302LOb_1020,3,1020,2,Low,2,ChemF/SW/ChemF/WW,No Till,2016,1.27,0.09,0.81,0.87,-0.06
GGRS_302LOb_2030,3,2030,3,Low,2,ChemF/SW/ChemF/WW,No Till,2016,1.4,0.09,0.68,0.73,-0.05
GGRS_303HIa_0010,3,10,1,High,9,SP/SW/WP/WW,No Till,2016,1.42,0.2,2.01,2.01,0
GGRS_303HIa_1020,3,1020,2,High,9,SP/SW/WP/WW,No Till,2016,1.35,0.08,0.77,0.99,-0.22
GGRS_303HIa_2030,3,2030,3,High,9,SP/SW/WP/WW,No Till,2016,1.37,0.1,0.82,0.87,-0.06
GGRS_303HIb_0010,3,10,1,High,9,SP/SW/WP/WW,No Till,2016,1.33,0.14,1.45,1.56,-0.12
GGRS_303HIb_1020,3,1020,2,High,9,SP/SW/WP/WW,No Till,2016,1.44,0.09,0.84,0.9,-0.06
GGRS_303HIb_2030,3,2030,3,High,9,SP/SW/WP/WW,No Till,2016,1.42,0.09,0.73,0.75,-0.02
GGRS_303LOa_0010,3,10,1,Low,9,SP/SW/WP/WW,No Till,2016,1.51,0.15,1.53,1.58,-0.05
GGRS_303LOa_1020,3,1020,2,Low,9,SP/SW/WP/WW,No Till,2016,1.36,0.1,0.98,1.03,-0.05
GGRS_303LOa_2030,3,2030,3,Low,9,SP/SW/WP/WW,No Till,2016,1.38,0.09,0.78,0.79,-0.01
GGRS_303LOb_0010,3,10,1,Low,9,SP/SW/WP/WW,No Till,2016,1.34,0.14,1.38,1.4,-0.01
GGRS_303LOb_1020,3,1020,2,Low,9,SP/SW/WP/WW,No Till,2016,1.48,0.1,0.9,1,-0.1
GGRS_303LOb_2030,3,2030,3,Low,9,SP/SW/WP/WW,No Till,2016,1.38,0.1,0.86,0.85,0.01
GGRS_304HIaa_0010,3,10,1,Organic,8,SPMan/SW/WPMan/WW,No Till,2016,1.3,0.12,1.2,1.23,-0.02
GGRS_304HIaa_1020,3,1020,2,Organic,8,SPMan/SW/WPMan/WW,No Till,2016,1.39,0.08,0.76,0.96,-0.2
GGRS_304HIaa_2030,3,2030,3,Organic,8,SPMan/SW/WPMan/WW,No Till,2016,1.54,0.1,0.69,0.76,-0.07
GGRS_304HIab_0010,3,10,1,Organic,8,SPMan/SW/WPMan/WW,No Till,2016,1.48,0.12,1.16,1.25,-0.09
GGRS_304HIab_1020,3,1020,2,Organic,8,SPMan/SW/WPMan/WW,No Till,2016,1.39,0.09,0.84,0.9,-0.06
GGRS_304HIab_2030,3,2030,3,Organic,8,SPMan/SW/WPMan/WW,No Till,2016,1.42,0.09,0.68,0.76,-0.08
GGRS_304HIba_0010,3,10,1,Organic,8,SPMan/SW/WPMan/WW,No Till,2016,1.32,0.12,1.14,1.24,-0.1
GGRS_304HIba_1020,3,1020,2,Organic,8,SPMan/SW/WPMan/WW,No Till,2016,1.45,0.1,0.88,0.95,-0.07
GGRS_304HIba_2030,3,2030,3,Organic,8,SPMan/SW/WPMan/WW,No Till,2016,1.41,0.09,0.68,0.73,-0.05
GGRS_304HIbb_0010,3,10,1,Organic,8,SPMan/SW/WPMan/WW,No Till,2016,1.54,0.13,1.22,1.28,-0.06
GGRS_304HIbb_1020,3,1020,2,Organic,8,SPMan/SW/WPMan/WW,No Till,2016,1.39,0.1,0.83,0.93,-0.1
GGRS_304HIbb_2030,3,2030,3,Organic,8,SPMan/SW/WPMan/WW,No Till,2016,1.46,0.1,0.74,0.77,-0.03
GGRS_305HIa_0010,3,10,1,High,6,SPFor/SW/WPFor/WW,No Till,2016,1.53,0.13,1.4,1.5,-0.1
GGRS_305HIa_1020,3,1020,2,High,6,SPFor/SW/WPFor/WW,No Till,2016,1.41,0.11,0.88,0.94,-0.06
GGRS_305HIa_2030,3,2030,3,High,6,SPFor/SW/WPFor/WW,No Till,2016,1.39,0.09,0.73,0.81,-0.08
GGRS_305HIb_0010,3,10,1,High,6,SPFor/SW/WPFor/WW,No Till,2016,1.33,0.12,1.25,1.35,-0.09
GGRS_305HIb_1020,3,1020,2,High,6,SPFor/SW/WPFor/WW,No Till,2016,1.36,0.1,0.84,0.94,-0.1
GGRS_305HIb_2030,3,2030,3,High,6,SPFor/SW/WPFor/WW,No Till,2016,1.29,0.09,0.74,0.8,-0.06
GGRS_305LOa_0010,3,10,1,Low,6,SPFor/SW/WPFor/WW,No Till,2016,1.35,0.12,1.26,1.34,-0.08
GGRS_305LOa_1020,3,1020,2,Low,6,SPFor/SW/WPFor/WW,No Till,2016,1.43,0.09,0.87,0.96,-0.09
GGRS_305LOa_2030,3,2030,3,Low,6,SPFor/SW/WPFor/WW,No Till,2016,1.33,0.09,0.76,0.77,-0.01
GGRS_305LOb_0010,3,10,1,Low,6,SPFor/SW/WPFor/WW,No Till,2016,1.36,0.11,1.09,1.22,-0.12
GGRS_305LOb_1020,3,1020,2,Low,6,SPFor/SW/WPFor/WW,No Till,2016,1.23,0.09,0.81,0.91,-0.1
GGRS_305LOb_2030,3,2030,3,Low,6,SPFor/SW/WPFor/WW,No Till,2016,1.46,0.09,0.76,0.74,0.02
GGRS_306HIa_0010,3,10,1,High,1,TillFal/SW/TillFal/WW,Till,2016,1.19,0.12,1.2,1.23,-0.03
GGRS_306HIa_1020,3,1020,2,High,1,TillFal/SW/TillFal/WW,Till,2016,1.12,0.11,0.86,0.93,-0.07
GGRS_306HIa_2030,3,2030,3,High,1,TillFal/SW/TillFal/WW,Till,2016,1.33,0.09,0.63,0.69,-0.06
GGRS_306HIb_0010,3,10,1,High,1,TillFal/SW/TillFal/WW,Till,2016,1.33,0.13,1.31,1.19,0.13
GGRS_306HIb_1020,3,1020,2,High,1,TillFal/SW/TillFal/WW,Till,2016,1.26,0.1,0.84,0.81,0.03
GGRS_306HIb_2030,3,2030,3,High,1,TillFal/SW/TillFal/WW,Till,2016,1.41,0.09,0.85,0.73,0.12
GGRS_306LOa_0010,3,10,1,Low,1,TillFal/SW/TillFal/WW,Till,2016,1.34,0.11,1.08,1.2,-0.11
GGRS_306LOa_1020,3,1020,2,Low,1,TillFal/SW/TillFal/WW,Till,2016,1.28,0.1,0.84,0.84,0.01
GGRS_306LOa_2030,3,2030,3,Low,1,TillFal/SW/TillFal/WW,Till,2016,1.27,0.09,0.69,0.75,-0.06
GGRS_306LOb_0010,3,10,1,Low,1,TillFal/SW/TillFal/WW,Till,2016,1.35,0.11,1.1,1.12,-0.01
GGRS_306LOb_1020,3,1020,2,Low,1,TillFal/SW/TillFal/WW,Till,2016,1.26,0.1,0.78,0.83,-0.05
GGRS_306LOb_2030,3,2030,3,Low,1,TillFal/SW/TillFal/WW,Till,2016,1.38,0.08,0.76,0.66,0.1
GGRS_307HIa_0010,3,10,1,High,3,SW/SW/WW/WW,No Till,2016,1.35,0.16,1.84,1.86,-0.02
GGRS_307HIa_1020,3,1020,2,High,3,SW/SW/WW/WW,No Till,2016,1.32,0.12,0.98,1.04,-0.06
GGRS_307HIa_2030,3,2030,3,High,3,SW/SW/WW/WW,No Till,2016,1.4,0.1,0.83,0.91,-0.08
GGRS_307HIb_0010,3,10,1,High,3,SW/SW/WW/WW,No Till,2016,1.3,0.13,1.4,1.5,-0.09
GGRS_307HIb_1020,3,1020,2,High,3,SW/SW/WW/WW,No Till,2016,1.43,0.1,0.91,0.92,-0.01
GGRS_307HIb_2030,3,2030,3,High,3,SW/SW/WW/WW,No Till,2016,1.5,0.1,0.77,0.8,-0.03
GGRS_307LOa_0010,3,10,1,Low,3,SW/SW/WW/WW,No Till,2016,1.31,0.12,1.3,1.37,-0.06
GGRS_307LOa_1020,3,1020,2,Low,3,SW/SW/WW/WW,No Till,2016,1.4,0.1,0.91,1,-0.1
GGRS_307LOa_2030,3,2030,3,Low,3,SW/SW/WW/WW,No Till,2016,1.45,0.09,0.74,0.8,-0.07
GGRS_307LOb_0010,3,10,1,Low,3,SW/SW/WW/WW,No Till,2016,1.5,0.12,1.25,1.3,-0.06
GGRS_307LOb_1020,3,1020,2,Low,3,SW/SW/WW/WW,No Till,2016,1.2,0.1,0.86,0.95,-0.09
GGRS_307LOb_2030,3,2030,3,Low,3,SW/SW/WW/WW,No Till,2016,1.26,0.08,0.61,0.66,-0.05
GGRS_308HIa_0010,3,10,1,High,7,SPMan/SW/WPMan/WW,No Till,2016,1.67,0.12,1.22,1.39,-0.17
GGRS_308HIa_1020,3,1020,2,High,7,SPMan/SW/WPMan/WW,No Till,2016,1.28,0.1,0.89,1.05,-0.16
GGRS_308HIa_2030,3,2030,3,High,7,SPMan/SW/WPMan/WW,No Till,2016,1.5,0.09,0.77,0.8,-0.04
GGRS_308HIb_0010,3,10,1,High,7,SPMan/SW/WPMan/WW,No Till,2016,1.49,0.12,1.27,1.31,-0.05
GGRS_308HIb_1020,3,1020,2,High,7,SPMan/SW/WPMan/WW,No Till,2016,1.18,0.11,0.88,0.92,-0.04
GGRS_308HIb_2030,3,2030,3,High,7,SPMan/SW/WPMan/WW,No Till,2016,1.18,0.09,0.65,0.73,-0.08
GGRS_308LOa_0010,3,10,1,Low,7,SPMan/SW/WPMan/WW,No Till,2016,1.34,0.13,1.34,1.32,0.02
GGRS_308LOa_1020,3,1020,2,Low,7,SPMan/SW/WPMan/WW,No Till,2016,1.24,0.1,0.89,0.97,-0.08
GGRS_308LOa_2030,3,2030,3,Low,7,SPMan/SW/WPMan/WW,No Till,2016,1.28,0.09,0.72,0.77,-0.05
GGRS_308LOb_0010,3,10,1,Low,7,SPMan/SW/WPMan/WW,No Till,2016,1.21,0.12,1.15,1.24,-0.09
GGRS_308LOb_1020,3,1020,2,Low,7,SPMan/SW/WPMan/WW,No Till,2016,1.26,0.09,0.79,0.88,-0.08
GGRS_308LOb_2030,3,2030,3,Low,7,SPMan/SW/WPMan/WW,No Till,2016,1.29,0.09,0.65,0.68,-0.03
GGRS_309HIa_0010,3,10,1,High,4,Flax/SW/WCan/WW,No Till,2016,1.25,0.15,1.61,1.64,-0.03
GGRS_309HIa_1020,3,1020,2,High,4,Flax/SW/WCan/WW,No Till,2016,1.42,0.09,0.68,1.02,-0.35
GGRS_309HIa_2030,3,2030,3,High,4,Flax/SW/WCan/WW,No Till,2016,1.32,0.08,0.70,0.67,0.02
GGRS_309HIb_0010,3,10,1,High,4,Flax/SW/WCan/WW,No Till,2016,1.21,0.12,1.27,1.75,-0.49
GGRS_309HIb_1020,3,1020,2,High,4,Flax/SW/WCan/WW,No Till,2016,1.28,0.1,0.87,0.99,-0.12
GGRS_309HIb_2030,3,2030,3,High,4,Flax/SW/WCan/WW,No Till,2016,1.4,0.09,0.68,0.72,-0.05
GGRS_309LOa_0010,3,10,1,Low,4,Flax/SW/WCan/WW,No Till,2016,1.48,0.13,1.28,1.36,-0.08
GGRS_309LOa_1020,3,1020,2,Low,4,Flax/SW/WCan/WW,No Till,2016,1.38,0.11,1.01,0.93,0.09
GGRS_309LOa_2030,3,2030,3,Low,4,Flax/SW/WCan/WW,No Till,2016,1.29,0.1,0.74,0.77,-0.02
GGRS_309LOb_0010,3,10,1,Low,4,Flax/SW/WCan/WW,No Till,2016,1.49,0.12,1.26,1.31,-0.06
GGRS_309LOb_1020,3,1020,2,Low,4,Flax/SW/WCan/WW,No Till,2016,1.41,0.1,0.87,1.1,-0.23
GGRS_309LOb_2030,3,2030,3,Low,4,Flax/SW/WCan/WW,No Till,2016,1.39,0.08,0.64,0.78,-0.14
GGRS_401HIa_0010,4,10,1,High,1,TillFal/SW/TillFal/WW,Till,2016,1.32,0.12,1.13,1.35,-0.22
GGRS_401HIa_1020,4,1020,2,High,1,TillFal/SW/TillFal/WW,No Till,2016,1.21,0.09,0.79,0.93,-0.14
GGRS_401HIa_2030,4,2030,3,High,1,TillFal/SW/TillFal/WW,No Till,2016,1.31,0.07,1.51,0.79,0.72
GGRS_401HIb_0010,4,10,1,High,1,TillFal/SW/TillFal/WW,No Till,2016,1.35,0.11,1.72,1.2,0.52
GGRS_401HIb_1020,4,1020,2,High,1,TillFal/SW/TillFal/WW,No Till,2016,1.19,0.09,1.38,0.87,0.51
GGRS_401HIb_2030,4,2030,3,High,1,TillFal/SW/TillFal/WW,No Till,2016,1.15,0.08,2.27,0.62,1.65
GGRS_401LOa_0010,4,10,1,Low,1,TillFal/SW/TillFal/WW,No Till,2016,1.47,0.12,1.3,1.2,0.1
GGRS_401LOa_1020,4,1020,2,Low,1,TillFal/SW/TillFal/WW,No Till,2016,1.42,0.09,0.9,0.84,0.06
GGRS_401LOa_2030,4,2030,3,Low,1,TillFal/SW/TillFal/WW,No Till,2016,1.32,0.08,1.72,0.72,1
GGRS_401LOb_0010,4,10,1,Low,1,TillFal/SW/TillFal/WW,No Till,2016,1.39,0.12,1.76,1.22,0.53
GGRS_401LOb_1020,4,1020,2,Low,1,TillFal/SW/TillFal/WW,No Till,2016,1.42,0.09,1.49,0.82,0.66
GGRS_401LOb_2030,4,2030,3,Low,1,TillFal/SW/TillFal/WW,No Till,2016,1.42,0.06,2.59,0.64,1.95
GGRS_402HIa_0010,4,10,1,High,5,SP/SW/WP/WW,No Till,2016,1.37,0.13,1.25,1.32,-0.07
GGRS_402HIa_1020,4,1020,2,High,5,SP/SW/WP/WW,No Till,2016,1.33,0.09,0.8,0.86,-0.06
GGRS_402HIa_2030,4,2030,3,High,5,SP/SW/WP/WW,No Till,2016,1.3,0.08,0.83,0.71,0.12
GGRS_402HIb_0010,4,10,1,High,5,SP/SW/WP/WW,No Till,2016,1.33,0.13,1.85,1.18,0.67
GGRS_402HIb_1020,4,1020,2,High,5,SP/SW/WP/WW,No Till,2016,1.24,0.08,1.51,0.81,0.7
GGRS_402HIb_2030,4,2030,3,High,5,SP/SW/WP/WW,No Till,2016,1.3,0.07,2.27,0.68,1.58
GGRS_402LOa_0010,4,10,1,Low,5,SP/SW/WP/WW,No Till,2016,1.29,0.13,1.27,1.26,0.01
GGRS_402LOa_1020,4,1020,2,Low,5,SP/SW/WP/WW,No Till,2016,1.34,0.09,0.81,0.87,-0.07
GGRS_402LOa_2030,4,2030,3,Low,5,SP/SW/WP/WW,No Till,2016,1.28,0.09,1.06,0.76,0.3
GGRS_402LOb_0010,4,10,1,Low,5,SP/SW/WP/WW,No Till,2016,1.31,0.12,1.76,1.22,0.54
GGRS_402LOb_1020,4,1020,2,Low,5,SP/SW/WP/WW,No Till,2016,1.27,0.08,1.5,0.79,0.71
GGRS_402LOb_2030,4,2030,3,Low,5,SP/SW/WP/WW,No Till,2016,1.23,0.07,2.21,0.64,1.57
GGRS_403HIa_0010,4,10,1,High,7,SPMan/SW/WPMan/WW,No Till,2016,1.25,0.13,1.31,1.24,0.07
GGRS_403HIa_1020,4,1020,2,High,7,SPMan/SW/WPMan/WW,No Till,2016,1.37,0.09,0.92,0.88,0.04
GGRS_403HIa_2030,4,2030,3,High,7,SPMan/SW/WPMan/WW,No Till,2016,1.44,0.07,2.07,0.65,1.42
GGRS_403HIb_0010,4,10,1,High,7,SPMan/SW/WPMan/WW,No Till,2016,1.61,0.13,2.41,1.19,1.23
GGRS_403HIb_1020,4,1020,2,High,7,SPMan/SW/WPMan/WW,No Till,2016,1.44,0.09,1.23,0.84,0.39
GGRS_403HIb_2030,4,2030,3,High,7,SPMan/SW/WPMan/WW,No Till,2016,1.61,0.07,2.14,0.63,1.51
GGRS_403LOa_0010,4,10,1,Low,7,SPMan/SW/WPMan/WW,No Till,2016,1.45,0.12,1.13,1.07,0.06
GGRS_403LOa_1020,4,1020,2,Low,7,SPMan/SW/WPMan/WW,No Till,2016,1.38,0.09,0.79,0.83,-0.04
GGRS_403LOa_2030,4,2030,3,Low,7,SPMan/SW/WPMan/WW,No Till,2016,1.54,0.07,2.43,0.65,1.78
GGRS_403LOb_0010,4,10,1,Low,7,SPMan/SW/WPMan/WW,No Till,2016,1.4,0.12,1.55,1.18,0.37
GGRS_403LOb_1020,4,1020,2,Low,7,SPMan/SW/WPMan/WW,No Till,2016,1.56,0.08,1.01,0.82,0.19
GGRS_403LOb_2030,4,2030,3,Low,7,SPMan/SW/WPMan/WW,No Till,2016,1.45,0.07,2,0.65,1.36
GGRS_404HIa_0010,4,10,1,High,2,ChemF/SW/ChemF/WW,No Till,2016,1.5,0.13,1.29,1.26,0.04
GGRS_404HIa_1020,4,1020,2,High,2,ChemF/SW/ChemF/WW,No Till,2016,1.44,0.1,0.86,0.8,0.07
GGRS_404HIa_2030,4,2030,3,High,2,ChemF/SW/ChemF/WW,No Till,2016,1.46,0.07,2,0.64,1.36
GGRS_404HIb_0010,4,10,1,High,2,ChemF/SW/ChemF/WW,No Till,2016,1.24,0.14,1.49,1.39,0.1
GGRS_404HIb_1020,4,1020,2,High,2,ChemF/SW/ChemF/WW,No Till,2016,1.54,0.1,1.2,1.04,0.16
GGRS_404HIb_2030,4,2030,3,High,2,ChemF/SW/ChemF/WW,No Till,2016,1.24,0.05,2.18,0.52,1.66
GGRS_404LOa_0010,4,10,1,Low,2,ChemF/SW/ChemF/WW,No Till,2016,1.27,0.11,1.08,1.05,0.03
GGRS_404LOa_1020,4,1020,2,Low,2,ChemF/SW/ChemF/WW,No Till,2016,1.27,0.08,0.74,0.82,-0.08
GGRS_404LOa_2030,4,2030,3,Low,2,ChemF/SW/ChemF/WW,No Till,2016,1.18,0.08,0.82,0.63,0.18
GGRS_404LOb_0010,4,10,1,Low,2,ChemF/SW/ChemF/WW,No Till,2016,1.33,0.12,1.27,1.09,0.18
GGRS_404LOb_1020,4,1020,2,Low,2,ChemF/SW/ChemF/WW,No Till,2016,1.34,0.08,0.87,0.81,0.06
GGRS_404LOb_2030,4,2030,3,Low,2,ChemF/SW/ChemF/WW,No Till,2016,1.29,0.07,2.08,0.61,1.47
GGRS_405HIa_0010,4,10,1,High,4,Flax/SW/WCan/WW,No Till,2016,1.22,0.13,1.49,1.45,0.05
GGRS_405HIa_1020,4,1020,2,High,4,Flax/SW/WCan/WW,No Till,2016,1.41,0.08,0.73,0.85,-0.12
GGRS_405HIa_2030,4,2030,3,High,4,Flax/SW/WCan/WW,No Till,2016,1.28,0.08,0.7,0.71,0
GGRS_405HIb_0010,4,10,1,High,4,Flax/SW/WCan/WW,No Till,2016,1.26,0.14,1.51,1.4,0.12
GGRS_405HIb_1020,4,1020,2,High,4,Flax/SW/WCan/WW,No Till,2016,1.24,0.07,1.83,0.67,1.16
GGRS_405HIb_2030,4,2030,3,High,4,Flax/SW/WCan/WW,No Till,2016,1.27,0.1,0.93,0.86,0.07
GGRS_405LOa_0010,4,10,1,Low,4,Flax/SW/WCan/WW,No Till,2016,1.4,0.13,1.3,1.28,0.02
GGRS_405LOa_1020,4,1020,2,Low,4,Flax/SW/WCan/WW,No Till,2016,1.26,0.1,0.87,0.87,0.01
GGRS_405LOa_2030,4,2030,3,Low,4,Flax/SW/WCan/WW,No Till,2016,1.19,0.09,0.79,0.73,0.06
GGRS_405LOb_0010,4,10,1,Low,4,Flax/SW/WCan/WW,No Till,2016,1.29,0.13,1.49,1.3,0.19
GGRS_405LOb_1020,4,1020,2,Low,4,Flax/SW/WCan/WW,No Till,2016,1.18,0.09,0.91,0.81,0.1
GGRS_405LOb_2030,4,2030,3,Low,4,Flax/SW/WCan/WW,No Till,2016,1.4,0.08,1.71,0.69,1.02
GGRS_406HIaa_0010,4,10,1,Organic,8,SPMan/SW/WPMan/WW,No Till,2016,1.29,0.13,1.18,1.17,0.01
GGRS_406HIaa_1020,4,1020,2,Organic,8,SPMan/SW/WPMan/WW,No Till,2016,1.44,0.1,0.82,0.88,-0.06
GGRS_406HIaa_2030,4,2030,3,Organic,8,SPMan/SW/WPMan/WW,No Till,2016,1.29,0.08,0.96,0.67,0.29
GGRS_406HIab_0010,4,10,1,Organic,8,SPMan/SW/WPMan/WW,No Till,2016,1.32,0.14,1.39,1.34,0.05
GGRS_406HIab_1020,4,1020,2,Organic,8,SPMan/SW/WPMan/WW,No Till,2016,1.3,0.09,0.8,0.87,-0.07
GGRS_406HIab_2030,4,2030,3,Organic,8,SPMan/SW/WPMan/WW,No Till,2016,1.33,0.1,0.8,0.76,0.03
GGRS_406HIba_0010,4,10,1,Organic,8,SPMan/SW/WPMan/WW,No Till,2016,1.32,0.12,1.27,1.08,0.19
GGRS_406HIba_1020,4,1020,2,Organic,8,SPMan/SW/WPMan/WW,No Till,2016,1.42,0.09,1.05,0.83,0.22
GGRS_406HIba_2030,4,2030,3,Organic,8,SPMan/SW/WPMan/WW,No Till,2016,1.38,0.07,2.43,0.61,1.83
GGRS_406HIbb_0010,4,10,1,Organic,8,SPMan/SW/WPMan/WW,No Till,2016,1.29,0.12,1.31,1.09,0.21
GGRS_406HIbb_1020,4,1020,2,Organic,8,SPMan/SW/WPMan/WW,No Till,2016,1.37,0.09,1.04,0.82,0.22
GGRS_406HIbb_2030,4,2030,3,Organic,8,SPMan/SW/WPMan/WW,No Till,2016,1.44,0.08,2.15,0.66,1.49
GGRS_407HIa_0010,4,10,1,High,6,SPFor/SW/WPFor/WW,No Till,2016,1.19,0.13,1.42,1.42,0
GGRS_407HIa_1020,4,1020,2,High,6,SPFor/SW/WPFor/WW,No Till,2016,1.29,0.09,0.79,0.85,-0.06
GGRS_407HIa_2030,4,2030,3,High,6,SPFor/SW/WPFor/WW,No Till,2016,1.28,0.09,0.79,0.72,0.07
GGRS_407HIb_0010,4,10,1,High,6,SPFor/SW/WPFor/WW,No Till,2016,1.4,0.12,1.25,0.97,0.28
GGRS_407HIb_1020,4,1020,2,High,6,SPFor/SW/WPFor/WW,No Till,2016,1.22,0.1,1,0.69,0.31
GGRS_407HIb_2030,4,2030,3,High,6,SPFor/SW/WPFor/WW,No Till,2016,1.36,0.08,1.58,0.56,1.01
GGRS_407LOa_0010,4,10,1,Low,6,SPFor/SW/WPFor/WW,No Till,2016,1.28,0.12,1.23,1.06,0.16
GGRS_407LOa_1020,4,1020,2,Low,6,SPFor/SW/WPFor/WW,No Till,2016,1.34,0.09,0.82,0.65,0.17
GGRS_407LOa_2030,4,2030,3,Low,6,SPFor/SW/WPFor/WW,No Till,2016,1.24,0.09,1.31,0.68,0.63
GGRS_407LOb_0010,4,10,1,Low,6,SPFor/SW/WPFor/WW,No Till,2016,1.41,0.1,1.03,1.12,-0.08
GGRS_407LOb_1020,4,1020,2,Low,6,SPFor/SW/WPFor/WW,No Till,2016,1.28,0.09,0.8,0.82,-0.02
GGRS_407LOb_2030,4,2030,3,Low,6,SPFor/SW/WPFor/WW,No Till,2016,1.33,0.08,1.67,0.65,1.01
GGRS_408HIa_0010,4,10,1,High,3,SW/SW/WW/WW,No Till,2016,1.37,0.16,1.76,1.74,0.02
GGRS_408HIa_1020,4,1020,2,High,3,SW/SW/WW/WW,No Till,2016,1.39,0.09,0.74,0.83,-0.09
GGRS_408HIa_2030,4,2030,3,High,3,SW/SW/WW/WW,No Till,2016,1.34,0.1,0.86,0.86,0
GGRS_408HIb_0010,4,10,1,High,3,SW/SW/WW/WW,No Till,2016,1.33,0.13,1.27,1.3,-0.03
GGRS_408HIb_1020,4,1020,2,High,3,SW/SW/WW/WW,No Till,2016,1.33,0.08,0.78,0.82,-0.05
GGRS_408HIb_2030,4,2030,3,High,3,SW/SW/WW/WW,No Till,2016,1.38,0.08,1.07,0.69,0.38
GGRS_408LOa_0010,4,10,1,Low,3,SW/SW/WW/WW,No Till,2016,0.77,0.13,1.44,1.33,0.12
